section;entree;nature;sous_entree;traduction_ewe
A;abaissement;m;;bobodeanyi
A;;;des prix;asidzidede, nudzidede
A;;;de Peau;tsimiemie, emedzedze
A;;;du sol;wedzedze, abudidi
A;;;(diminution);dede, wewowo, nu dzi kakade kpoto
A;;;(humiliation);vlododo, bobodeanyi, gbôdidi ame
A;abaisser;vt;;didi nu de anyi, bobo nu de anyi
A;;;les prix;de nu dzi, de asi le nu dzi
A;;;quelqu'un;do vlo ame, bobo ame de anyi, di gbô ame
A;;;(diminuer);de nu le nu nu, de nu da, de nu dzi suso
A;s'abaisser;v;;bobo amedokui de anyi, dze ko anyL
A;;;(devenir plus bas);dze we, de do, wo do
A;abandon;m;;gbegblêdi, yametsitsi, beble
A;;;(négligence);nudededi, bemalemalé
A;;;(résignation);amedokuinana, amedokuikeke, ta-nana
A;;;de;soi à Dieu amedokuitsotso na Mawu, dzidoda de Mawu nu
A;abandonnement;m;;asidede le nu nu, nudede le nya me
A;;;(înconduite);nubadawowo, hadzedze
A;abandonner;vt;;gblê nu di, gblê nu de megbe, de asi le nu nu
A;;;son travail;dzo le do me, do le do me, de asi le do nu
A;s'abandonner;v;;tso amedokui de asi na ame, de asi le amedokui nu
A;;;(mauvais);vlo, bada
A;abandonné;m;;hadzela, ahasiwola, matrewola
A;abattage;m;;nutsotso : atitsotso
A;abattement;m;;lâmegbodzo, agbagba, dediteamenu
A;;;(découragement);dzideleameîo, tamebubu
A;abatteur;m;;atitsola
A;abattis;m;;nutsotso, nunene, atitsotso
A;;;(décombres);dukpo, akolikpo
A;;;(carnage);amegede wuiwu, ametsotsyrô
A;abattoir;m;;lâtsoîe, lâwuîe
A;abattre;vt;;tso nu, îo nu îu anyi, hlâ nu de anyi
A;;;une forêt;îo ave, ha kuti
A;;;un arbre;tso ati, lâ ati, mû ati
A;;;de Pherbe;ya gbe, si gbe, nlo gbe, ga gbe
A;;;un animal;wu lâ, îo lâ wu, tso wu lâ
A;;;une maison;gbâ ho, mû ho îu anyi
A;;;la douleur;du vevesese dzi, de veve dzi kpoto, îa veve nu
A;;;l'orgueil de q.;bobo ame d'anyi
A;;;des fruits;dudu kutsetse le ati dzi, gbe nu, tso wudu kutsetse
A;;;q. d'un coup de fusil;îo tu ame îu anyi, da tu ame
A;s'abattre;v;;mû dze anyi, ge, dze anyi
A;;;(d'un oiseau);dze de nu dzi
A;;;(d'un cheval);dze anyi, no anyi
A;;;(du vent);ya lé, ya tsi, yaîoîo nu lé
A;abbaye;f;;sadagaho
A;abbé;m;;sadagaho îe nunolagâ, mawununola
A;abcès;m;;îoîoe, nuîoîo, nuteame
A;abdication;f;;asidede le nu me, nugbegbe
A;abdiquer;vt;;de aniedokui le nu nu, de asi le nu nu, gbe nu
A;abdomen;m;;îo, îodo, dome
A;abecquer;vt;;do nududu na hevi
A;;;(mâle);anyifsu, anyi fomewola
A;abhorrer;vt;;tsri nu, nyô nu
A;abîme;m;;abu, abume, agame, agume
A;abîmer;vt;;tso nu îu gbe, gbâ atri nu
A;;;(ruiner);gblë nu, tsyrô nu
A;s'abhner;v;;yi to
A;abjection;f;;vlonyenye, yakanyenye
A;abjuration;f;;nugbegbe, asidede le nu nu
A;;;de sa foi;hosegbegbe, asidede le hose nu
A;abjurer;vt;;gbe nu, de asi le nu nu
A;;;sa religion;gbe hose, gbe mawumenu
A;ablution;f;;koklo, tsiîele, abnégation î nusesê, dokuidede le nu nu, nugbe-gbe
A;aboîment;m;;wowo, gbogbo
A;abolir;vt;;de nu da, tsi nu nu, klo nu
A;;;une loi;tu se, \vu se, gbêdi se
A;abolition;f;;dededa, nukoklo
A;;;d'une loi;setutu, se v'uwu
A;abomination;f;;nunyônu, tsitsri, nunyanyrâ
A;abondamment,;adv;;îû, sogbo îû, kpi, zâ
A;abondance;f;;agbososo
A;;;dans le sens de q.;de ame dzi, ho de ame dzi
A;abonnement;m;;dodo, hodede nu dome, agbalê dodo
A;abord;m;;tofe, amegboyiyi
A;d'abord;adv;;gbâ, gbâla, gbâgbiagbâ, haîi
A;aborder;vt;;di go, gogo ame, te de ame nu
A;;;(approcher);gogo ame, te de ame riu
A;;;(accoster);îo nu na ame, gblo nya na ame, yî ame gbo
A;;;une question;le nya kpo, do nya da»
A;s'aborder;v;;kpe, do go
A;aborigène;m;;anyigbato, dumeto, dèto
A;;;à rien;wo nu dzodzro, tro zu fuîlu, glo
A;;;contre q.;wô de ame ta, gbo de ame ta
A;abrégé;m;;nyakpui, nyametsiatsia, kpuiwowo
A;abréger;vt;;wo nu kpuie, gbo nu kpuie
A;abreuver;vt;;na tsi, de tsi nu
A;abreuvoir;m;;tsinoîe, lâwo fe tsileîe
A;abréviation;f;;kpui gbogbo, nutsotsosuso, kpui-wowo
A;abri;m;;sietsoîe, tamehenu, agbado
A;abricot;m;;kutsetse ade
A;abrogation;f;;nugùgù, nuidededa, setutu
A;abroger;vt;;de nu da, de asi ie nu nu
A;;;une loi;tu sé, wu se, gbïdi se
A;abruti;m;;bometsila, lato, movito, hôvi
A;abrutir;vt;;wo wôazu là, do movuito ame
A;abrutissement;m;;hôvidzodzo, lâdzodzo
A;abscission;f;;tsotso
A;;;(manque);hïahïa, ziaziâ
A;;;d'esprit;tamemanoaîideka, tamebubu^ tamedzra^ abs — aca absent a manoanyi, nusi meli o
A;s'absenter;v;;dzo yi afiade
A;absinthe;f;;aha ade
A;absolument;adv;;kokoko, godogodo
A;absorber;vt;;mi nu, no nu, du nu, nyi nu)
A;absoudre;vt;;tso afia, tso nu ke
A;;;q.;tso afia na ame
A;;;q. de ses péchés;tso nuvôwo ke ame
A;;;de qc.;de amedokui da le nu gbo
A;;;de viande;do là nu, nyi wulâ dudu ko
A;;;de manger;do nù, do la dzï, nyi nududu ko
A;abstème,;n;;vêmanola, donù
A;abstension;f;;asidede le nu nu, nugbegbe
A;absterger;vt;;klo nu, klo abi, tutu nu, fo abi
A;abstersion;f;;koklo, siasia, nututu, abi koklo, abi-fofo
A;abstinence;f;;nù dodo, nudzidodo, nutsitsri
A;;;de;vin ahadzidodo
A;abstraction;f;;dededa, dedePeme
A;abstraire;vt;;de nu le nu me, de nu di (da)
A;;;son esprit de;de susu da le nu gbô
A;absurdhé;f;;bometsinu, yakanu
A;abus;m;;dowowo vô le nu nu, riutidowowo bada
A;abuser;vt;;ble ame
A;;;de q.;gblê ame
A;s'abuser;v;;ble amedokui
A;acacia;m;;akuiko, huhoe, akukoti
A;acajou;m;;odum, loko, lokoyie
A;accablement;m;;dedi, — dzideleamefo
A;accabler;vt;;te ame de anyi, zi ame dzi, lo nu kg de ame dzi
A;;;q. d'injures;dzu ame, kpli dzu n'ame
A;;;q. de louanges;kafu ame gede, lo kaîukafu tsyo ame
A;accalmie;f;;yalele
A;;;aux désirs de q.;lô de nya dzi na ame
A;accélérer;vt;;wg kaba, wâ de nu nu
A;accent;m;;kakâdedzi, gbggblo kple mise
A;accentuer;vt;;te gbe de nya dzi
A;accepter;vt;;ho nu, lô de nu dzi
A;;;une succession;lô de domenyinu hoho dzi
A;;;le marché;tso gbe le nuîefle nu
