section;entree;nature;sous_entree;traduction_ewe
A;abaissement;m;;bobodeanyi.
A;;;des prix;asidzidede, nudzidede.
A;;;de Peau;tsimiemie, emedzedze.
A;;;du sol;wedzedze, abudidi.
A;;;(diminution);dede, wewowo, nu dzi kakade kpoto.
A;;;(humiliation);vlododo, bobodeanyi, gbôdidi ame.
A;abaisser;vt;;didi nu de anyi, bobo nu de anyi.
A;;;les prix;de nu dzi, de asi le nu dzi.
A;;;quelqu'un;do vlo ame, bobo ame de anyi, di gbô  ame.
A;;;(diminuer);de nu le nu nu, de nu da, de nu dzi suso.
A;s'abaisser;v;;bobo amedokui de anyi, dze ko anyL
A;;;(devenir plus bas);dze we, de do, wo do. l'eau  s'abaisse  tsi  le  nu  dem,  tsi  le  miemiem.
A;abandon;m;;gbegblêdi, yametsitsi, beble.
A;;;(négligence);nudededi, bemalemalé.
A;;;(résignation);amedokuinana, amedokuikeke, ta- nana.
A;;;de;soi à Dieu amedokuitsotso na Mawu, dzidoda de  Mawu  nu.
A;abandonnement;m;;asidede le nu nu, nudede le nya  me.
A;;;(înconduite);nubadawowo, hadzedze.
A;abandonner;vt;;gblê nu di, gblê nu de megbe, de  asi  le  nu  nu.
A;;;son travail;dzo le do me, do le do me, de asi le  do  nu.
A;s'abandonner;v;;tso amedokui de asi na ame, de asi  le  amedokui  nu. s'  -  à  q.    bobo  amedokui  de  ame  te,  do  dzi  de ame  nu. aba  —  abd s'  -  au  vice     dze  ha,  lô  nu  vlo  wowo. abandonné    a     tsi  îuîlu,  tsi  yame.
A;;;(mauvais);vlo, bada.
A;abandonné;m;;hadzela, ahasiwola, matrewola. abandonnée   î     gbolo,  matrewola  ;  dzakasi,  hoteli, hampo.
A;abattage;m;;nutsotso : atitsotso ; lâwuwu, atimûmû.
A;abattement;m;;lâmegbodzo, agbagba, dediteamenu.
A;;;(découragement);dzideleameîo, tamebubu.
A;abatteur;m;;atitsola ; lâwula.
A;abattis;m;;nutsotso, nunene, atitsotso.
A;;;(décombres);dukpo, akolikpo.
A;;;(carnage);amegede wuiwu, ametsotsyrô.
A;abattoir;m;;lâtsoîe, lâwuîe.
A;abattre;vt;;tso nu, îo nu îu anyi, hlâ nu de anyi.
A;;;une forêt;îo ave, ha kuti.
A;;;un arbre;tso ati, lâ ati, mû ati.
A;;;de Pherbe;ya gbe, si gbe, nlo gbe, ga gbe.
A;;;un animal;wu lâ, îo lâ wu, tso wu lâ.
A;;;une maison;gbâ ho, mû ho îu anyi.
A;;;la douleur;du vevesese dzi, de veve dzi kpoto, îa  veve  nu.
A;;;l'orgueil de q.;bobo ame d'anyi. di gbô ame.
A;;;des fruits;dudu kutsetse le ati dzi, gbe nu, tso wudu  kutsetse.
A;;;q. d'un coup de fusil;îo tu ame îu anyi, da tu ame.
A;s'abattre;v;;mû dze anyi, ge, dze anyi.
A;;;(d'un oiseau);dze de nu dzi.
A;;;(d'un cheval);dze anyi, no anyi.
A;;;(du vent);ya lé, ya tsi, yaîoîo nu lé. abattu    a    dzimalé,  gblodo,  deîotoe. être-   dzi  de  le  ame  îo,
A;abbaye;f;;sadagaho.
A;abbé;m;;sadagaho îe nunolagâ, mawununola. abbesse    î    sadagaho  îe  sista  gâ.
A;abcès;m;;îoîoe, nuîoîo, nuteame.
A;abdication;f;;asidede le nu me, nugbegbe.
A;abdiquer;vt;;de aniedokui le nu nu, de asi le nu nu,  gbe  nu.
A;abdomen;m;;îo, îodo, dome. abé  —  a  bo •abécédaire    m    agbalê   hehlê   gbâto,  abetsegbalê, silabe.
A;abecquer;vt;;do nududu na hevi. abeille    î  anyi.
A;;;(mâle);anyifsu, anyi fomewola. aberration   î   motatra,  nudzidada,  tagbogbegblê. aberrer   vi   tra  mo,  da  nu  dzi.
A;abhorrer;vt;;tsri nu, nyô nu.
A;abîme;m;;abu, abume, agame, agume.
A;abîmer;vt;;tso nu îu gbe, gbâ atri nu.
A;;;(ruiner);gblë nu, tsyrô nu. abîmé  a    gbegblê,  divlo. être  -de  dettes    îe  le  ame  nu  riuto,  du  îe  gede.
A;s'abhner;v;;yi to ; gblê, tsyrô. abject    a    dovo,  vlo,  yaka,  madifeniki,  madiagaga.
A;abjection;f;;vlonyenye, yakanyenye.
A;abjuration;f;;nugbegbe, asidede le nu nu.
A;;;de sa foi;hosegbegbe, asidede le hose nu.
A;abjurer;vt;;gbe nu, de asi le nu nu.
A;;;sa religion;gbe hose, gbe mawumenu.
A;ablution;f;;koklo, tsiîele, abnégation    î    nusesê,  dokuidede  le  nu  nu,  nugbe- gbe. faire  -de  qc.    de  asi  le  nu  nu.
A;aboîment;m;;wowo, gbogbo.
A;abolir;vt;;de nu da, tsi nu nu, klo nu.
A;;;une loi;tu se, \vu se, gbêdi se.
A;abolition;f;;dededa, nukoklo.
A;;;d'une loi;setutu, se v'uwu. abominable    a    nyôriu,  vlo,  nyrâ.
A;abomination;f;;nunyônu, tsitsri, nunyanyrâ. avoir  qc.  en-   tsri  nu,  gbe  nu  vevie. avoir  q.  en-  lé  fu  ame,  tsri  ame.
A;abondamment,;adv;;îû, sogbo îû, kpi, zâ.
A;abondance;f;;agbososo. en-   le  agbososo  me,  fû. abondant   a    sogbo,  bo,  bowâ\vâ,  tsekplanya. abonder    vi    so  gbo,  li  îû,  bo,  to.
A;;;dans le sens de q.;de ame dzi, ho de ame dzi. le  travail  abonde    do  bo,  dowowo  kekle,  do  tsi anyi. s a  bo  —  abs
A;abonnement;m;;dodo, hodede nu dome, agbalê dodo. s'abonner    de  ho  agbalê  dome,  do  nyagbalê.
A;abord;m;;tofe, amegboyiyi ; godidi, wudzedze.
A;d'abord;adv;;gbâ, gbâla, gbâgbiagbâ, haîi.
A;aborder;vt;;di go, gogo ame, te de ame nu.
A;;;(approcher);gogo ame, te de ame riu.
A;;;(accoster);îo nu na ame, gblo nya na ame, yî ame  gbo.
A;;;une question;le nya kpo, do nya da». le  navire  aborde    wu  dze  go,  wu  do,  wu  di  go.
A;s'aborder;v;;kpe, do go.
A;aborigène;m;;anyigbato, dumeto, dèto. aboulie  î  adawakuku.  tagboîuflu,  lolônumano  amesû aboutir    vi    yi  de  afiade  ;  ke,  vo,  wu  nu.
A;;;à rien;wo nu dzodzro, tro zu fuîlu, glo. un  abcès  aboutit    fofoe  de  tsi. aboyer   vi    wo,  gbo.
A;;;contre q.;wô de ame ta, gbo de ame ta.
A;abrégé;m;;nyakpui, nyametsiatsia, kpuiwowo.
A;abréger;vt;;wo nu kpuie, gbo nu kpuie.
A;abreuver;vt;;na tsi, de tsi nu.
A;abreuvoir;m;;tsinoîe, lâwo fe tsileîe.
A;abréviation;f;;kpui gbogbo, nutsotsosuso, kpui- wowo.
A;abri;m;;sietsoîe, tamehenu, agbado. chercher  un-    dzi  tsietsoîe,  dzi  nofe,  si  ame  tso. trouver  un-   kpo  sietsofe,  kpo  dzigbodeanyife.
A;abricot;m;;kutsetse ade.
A;abrogation;f;;nugùgù, nuidededa, setutu.
A;abroger;vt;;de nu da, de asi ie nu nu.
